kg_name,ui_label
Lanas,Lanas (Black shank)
Patik,Patik (Frogeye leaf spot)
Bercak_target,Bercak target (Target spot)
Bercak_coklat_berzona,Bercak cokelat berzona (Brown spot)
Layu_bakteri,Layu bakteri (Granville wilt)
Batang_berlubang,Batang berlubang (Hollow stalk)
Hawar_api,Hawar api (Wildfire)
Virus_mozaik_tembakau,Virus mosaik tembakau (Tobacco Mosaic Virus (TMV))
Virus_mozaik_mentimun,Virus mosaik mentimun (Cucumber Mosaic Virus (CMV))
Virus_kerupuk,Virus kerupuk (Tobacco Leaf Curl Virus (TLCV))
Nematoda_puru_akar,Nematoda puru akar (Root-knot nematode)
Rebah_semai,Rebah semai (Damping-off)
